titulo,preco,preco_antigo,avaliacao,loja,frete,desconto_pct,link,tem_desconto,frete_gratis,faixa_preco,score
"Celular Samsung Galaxy A17 Com Ia, 256gb, 8gb Ram, Câm De 50mp, Tela De 6.7 , Nfc, Ip54 - Preto",1259,1399.0,4.9,Samsung,Chegará grátis amanhã,10,https://www.mercadolivre.com.br/celular-samsung-galaxy-a17-com-ia-256gb-8gb-ram-cm-de-50mp-tela-de-67-nfc-ip54-preto/p/MLB55254425#polycard_client=search-desktop&search_layout=grid&position=11&type=product&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB4583723537&sid=search,1,1,1k-2k,15.45
"Celular Samsung Galaxy A07 256gb, 8gb, Câmera 50mp, Tela 6.7 , Proteção Ip54, Processador 6nm - Violeta",852,1399.0,4.9,123 Comprou,Chegará grátis amanhã,39,https://www.mercadolivre.com.br/celular-samsung-galaxy-a07-256gb-8gb-cmera-50mp-tela-67-proteco-ip54-processador-6nm-violeta/p/MLB54964804#polycard_client=search-desktop&search_layout=grid&position=12&type=product&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB4277746349&sid=search,1,1,500-1k,24.15
"Smartphone Motorola Moto G86 5g - 256gb 24gb (8gb Ram+16gb Ram Boost) Tela 1.5k Poled, 50mp Sony Camera Ois Moto Ai, Videos Em 4k, Ip68 + Ip69 - Vermelho",1792,2399.0,4.9,Motorola,Chegará grátis amanhã,25,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=bZfgONbn4qoSBHk%2BvysZUY81kcS719wPrQGTIl9e1g%2BBRUIGA4gxX06xYw72dld%2BwkNbwzyV38W6LdHUO0klwe9uSxOs3IMdTslpQBtMoaPKk81ZTjnePmmkKq%2FJh0z362KBFNsMOVQ4RwpjG8Z847Jp5fOR8Eijsc6f%2FLKIFOGlAf5zW7CvSS0IJI%2FkK9lEIX7jvx1Ta9V4xiCnDzN9RcV0Dl0Ll3azcTpfHbkwE3ItM2tHAVhdM2TMMnbOnHUBtIaevMllDTm%2FMioipn66%2F8Ou1hnXiJI7nzktfQ8M%2BXDz1p2DTq5eQmksH62KVp%2B%2FJfLvl7R9Rud3jweHAmcehUD6%2BLt7EQ7Nj%2FyBimFYVqn0omv3ukuCvxZbQGDb1XVKGdsRBzfuI9njZ26bPNAMf6KDijFTCeYw9N8KnRBPB%2BNs0rHeP%2FB3ciH3MK5p3sPoX7zJFhexx0DsPn6N0t34qcyGfzGFnoPmWuMvpAHagn%2BAQSx9lkB%2BDQj5Fa9QC90hsLo%2BG18iKFv7O2dmHmu4mL1KqbPUwge5jikxDQrCoVeA5dS2knlEcgzlpWgjnvWzVdo6rKQvwCjgSm8nLLtIujxBoKy2Pf9cfcqAs6WV62ek4hkufCskOf%2FgZAVVol4njbDsiuLyo0tcJgdruqPczDNRvxnvnCzS5tGb%2BuNSZyn6WBDD%2Bui4CAe588EKdN6qX3t2P3KQcgolsQ3%2FQnzUZhSmTLkpJxhrzsVz5Lz%2BO%2BIKa7EHIse0Cf7RyJGwRYwTJhaUtrhquCW9TwEVmJWAPJsrAmzqogwsZUIYs%2FtEUFgIQgC9cSjmgX6S1z5qj9TvVLPkYUigI2cQvy4vAxYnGVc2MB8DVtqdiLU0jm51KPPq%2BVtmCkGSocbKNuxeC0qxZLaBE8ZqXE3bfycY3M4DUAK7uveDh5oKIyn9MteoEMjbjk7vjmG4%2FrACrLtysRJzndVfOoj75EwkcXwL9G8eX3R3nrKFELLEIhRs6H2o1WZyrcwFx9K9%2BPM9emXl532efXjpjINEULw2OPITPW2xJIgLjA725NBgi6sJ0uiJOCIpmA%3D%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB51340616&backend_model=search-backend&search_layout=grid&position=13&type=pad&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB5462013472&sid=search,1,1,1k-2k,19.95
Smartphone Motorola Moto G05 256gb 4gb Ram Camera 50mp Vermelho,699,1199.0,4.9,Motorola,Chegará grátis amanhã,42,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=mWn%2Bd2Z3exoo5Y%2FwixHfKE3mDcBzbi19VsnJWrIQz%2BZTMj5%2Fj9zi9knbVFvIlCml9hQVCdRfovHABvyyvk6sdmrkzGBOr0uG%2BPX%2F0PXwF0fAmEKW6yCbNNMAMiQ8IYH8xTdPqlbPD9GoLnaLNxeFmRC3VvYX1yvFsey0faBhTQW9aKSWQg1OSb%2FZpNoaMr8ZVc444n8n2rlOXIPsy4n0oCA46v4ymO2j3gxCbhZynqWi5iBFOnzcY8L9RwWR2w2HpyULQtu%2BrJ7PR%2F7mM9MXCQ%2BZkMJpB0xcs1gD6yHv3xQjFta7eVifT4WAuGjYqNFS2zyuH%2FifrmQw%2BUyNsfRzocNp%2BwOK%2BiwyD4Fc%2BrwSoq5Bq4WPFrqaax2ObVO84iR1fzFlmyQlgHmywn1kkF2wDwggi9jwq0Fld3VUdsyP11SDzgPzp56yB40uPwEPsgEZVU65umNvythvwvrDNHxyZRm%2Fq6Dryw%2FMxSYYR6zJOn%2BULAkuC9NeigQKosDnX6TDQAEmJY0tQJB6xIQeieRvJUyfm9CG%2FfZ0rKn%2FQ1uxFf6lq0eOIY7pSs%2FjKQ1QBPzHF%2F0P0ZhCSny7cQdLQw9XffimZnF15mheRgB1s076%2BjwgBZbwCiTpvbef904LPbDSDbAHKilOMGgtCb74WfurkALs0lbbqT4DGHwem24TXCLm3HuOtU%2Fhzj%2FJNitGaXIRmkiTLsz4%2B0a1VHGKDHFkO6L4nv68gIn9%2FS1xe64NX%2BOAOZfBgH%2FpxXyco7mxgPIYh57ASnI%2FDRBuOe14Idb9%2F%2F3RQ7qrTd%2Bu8lwkcIHyx24BjI%2BuUXt7xS23%2F9XWrWlBUd1EGQH%2FMOgOTnVcjCLMNC08Fa5hcDCiCtX2iQoEeJqZcG%2BCMW5r8Q%2FDl5%2FNFGf6rjsbvu0gpNxriqXcPBdO8qAiXSSw0U8ELlQpY6gUKv9r6Y3OSDfc6bsxYcpqSOGn3rqx0AaB#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB58493174&backend_model=search-backend&search_layout=grid&position=14&type=pad&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB5774641722&sid=search,1,1,500-1k,25.05
Smartphone Motorola Moto G56 5g - 256gb 16gb (8gb Ram+8gb Ram Boost) Camera 50mp Sony Lytia 600 Ultrarresistencia Militar e Ip68 + Ip69 - Cinza,1598,1999.0,4.9,Motorola,Chegará grátis amanhã,20,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=s70HD3TsOItQvRSqPd2JQrsfy%2Bx%2FXmUqD5wuRfbZ7Os7LEfME4JHaPv0QfDgBpgn2AiIe28q60JMDAL51oXPEIg6SdTcl9e7PcWm%2FwGoO8F3vBsjpwEIlaTqUWKXmhzBihFFevaSvm75X48KtJv%2FMKa5GwbEGxR%2BThZMM2NNmkrmF%2Bf%2FiGwr6u5%2FySF%2BXERgEmcBDCxzs2Y3AiJF2uRSan6IGaegfe27xZNBd6Vq1%2FTsx862zjmKZy5XHUvzquRsOKNGVpxdiIDrWq3YD0B%2B%2Bx0fAA5zbg4w8vjfXfimtMneEg74ztt%2F6InRJMvdPbXiElKmr3AObXV%2BLR9hsivHutzj%2Fgfs7bTpLkIAIlXOxQzZnIiTtJdniasyp3gEYDKyhzQPuDhKf8%2BiBfjYlnr2onFbD2ykQiki%2BIvlxZm8dyC9OsF5PTdcZxb0nQGEwJFGr0l5X7fznMdesXR1QG8ennGwHFIvkVGdSaoL9g8w7oTrCONPcCOGUMDfLv9GZpVtLod2i%2Bs0PrT%2FPyw1U6YHCsByElw64Kw2USyl59j96zfNy8lUA6Mg877wSIhHmDBOGJZ8ChKOlZmySLcuTN6TSD3DToaQNQbz%2B6mepXCCrfwgSbWUE4gArfn8KdlNUWyd1udm1LpR2vrHgRbqxJgfZoxKogpyo7PJO6V%2FOP0H7gQKHOH5AobmJldjZZVc0uDa1TeV7sGfpuFWJ6%2Ffg0Auo6mjQOqtUscv21N1gBQpMrE82B7iLCoGGKlron%2Bn5hWTW40a6238f7F0YNJZ6QGDj8az9VQyPCLVVgJAhXEfl6KqbULnaf%2B6fVkRkfEih82VQaP9mYxl0AyOJUYcZ9FX92lx3PtXXCf4TO4ANS%2BjmxPziR2%2FlbSjk%2F26C2hcTxPlmRgj%2FwZ5GwrenTZZeACARrr0PaAaPdGj4rfix8r715cVp1p%2B3oCZGIG3KKRBkz%2FC7QJPd6dR%2BR6aWT9hGah6gkLabu7LunNJRKgyn7NQ%2F2aNG2fFtclET04bkiSWk9KFKffPpoj3XaSyYhYeRQTieNQk75SnSRiRjCUdSg%3D%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB50301060&backend_model=search-backend&search_layout=grid&position=15&type=pad&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB5402372302&sid=search,1,1,1k-2k,18.45
"Smartphone Motorola Moto G67 5g - 128gb 12gb (4gb Ram + 8gb Ram Boost) Camera 50mp Sony Lytia 600, Tela 1.5k Extreme Amoled 120hz, Ultrarresistente - Chumbo",1529,1899.0,4.8,Motorola,Chegará grátis amanhã,19,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=htfliIsXjo2uuBz6dBigED9yOOOcHqo4Ct3EP7UZsQoNfVoK%2Bgw9jyyjFzZarc35jRj%2BnQzE10l1WOGib%2Fg1GtTQA0icVVWTbFCqyyIGn8jH9tLL2mKMxaH4SF2A3HwtvuhaynW%2F0a5qmUM9MxTrSr0ZjpAGNdZbv7KQLP36%2BuKMNW8pPsNYN1k3SKxlSGcpST3Vj0IGXOugKiOVE%2BJl%2FL6BnWyxB70pyLNeQjjFUZYWgfZlRyhILuLMJ8IkHXH8bGAauyJWYwv4pu0bRcixUhzyBzWey%2BA%2FoeCNntpyg%2B4vS4tO%2BObNlCfXDal14FIaUppJzcMEWD1briivOxcTqifC%2BZXIabPsRpVg7fEqH8LAlMJ0anS5%2Fk5V2u%2BaULavg99eWtXyZDLbY6qwCjXeCe8EvO3gegMPkOLzW71bl%2F10VFng%2B7m9ypFmnEcjhQioQykNqWgRFiOx7QKrVGbOiQQwN%2FLZZ5MUSDyBFji%2BjUCvUkNQ8BNZxYV6i4GTtyeuTMJodvXWMHdFowSl0My9NU2qKXLZ5l6jKH1pGn5loVN3yc4sOUcAAp6qYuVI56%2Fgg5wApTCAx%2Bwu3L9%2FI1g8IU3%2FPqjXdgqc1CFrHnEYUexPVx2fHjJhSH9gGz7xW2709xQMsSUhiwAgOjvRKpAkivr3tyYSzc9SaaIl8hLQBDm9x7wc5GvKMKCe0vmPC%2BgQ0fxPwiVrsIMfA9xfAgskWQbfT5SzekmOqwesQUFj3oQlPmhWYSeTsyjxEupjZAalGlf0rpf5C4VBGPjke8jb0riW9%2F3dJ1r%2FTzP83XvE8gltO62ilDnW9qxYMD4Mr5FBAKRtTi%2F%2Forbenp3cdFb2ribHOF%2BFaemfltBsR1rBHvLmsgicy%2FDXjs%2FH8InDASN5jt1U3tI3q%2Bg0GpNnRKjB63fLGKIqzDHbJ0d9XrDnM0UEzsOmF1YsafNJeDeDhvljR9cTSw2M2KBisTyyexDmdH7U9vnI4zVnC3MuBulvBqkC1yEQBiQ8yb5MoIT4HVwZHCaABNcTPKLpHYeLXmjxqo%2BhO4MYaoIVAo9718RNhN0ZshSTWqfm#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB65319818&backend_model=search-backend&search_layout=grid&position=16&type=pad&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB6420538026&sid=search,1,1,1k-2k,18.1
Smartphone Motorola Moto G06 - 256gb 12gb (4gb Ram + 8gb Ram Boost) E Camera 50mp Com Ai Bateria De 5200 Mah Tela 6.9 - Bege,723,1349.0,4.9,Motorola,Chegará grátis amanhã,46,https://www.mercadolivre.com.br/smartphone-motorola-moto-g06-256gb-12gb-4gb-ram-8gb-ram-boost-e-camera-50mp-com-ai-bateria-de-5200-mah-tela-69-bege/p/MLB55762063#polycard_client=search-desktop&search_layout=grid&position=17&type=product&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB5765125576&sid=search,1,1,500-1k,26.25
Smartphone Motorola Edge 60 Pro 5g - 256gb 24gb (12gb Ram+12gb Ram Boost) Tela Quad-curve Moto Ai 50mp Sony Camera Ultrarresistencia Militar Ip68 + Ip69 - Azul,2694,4499.0,4.9,Motorola,Chegará grátis amanhã,40,https://www.mercadolivre.com.br/smartphone-motorola-edge-60-pro-5g-256gb-24gb-12gb-ram12gb-ram-boost-tela-quad-curve-moto-ai-50mp-sony-camera-ultrarresistencia-militar-ip68-ip69-azul/p/MLB49085450#polycard_client=search-desktop&search_layout=grid&position=18&type=product&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB5382324466&sid=search,1,1,2k-5k,24.45
Smartphone Samsung Galaxy A36 5G 256GB 8GB RAM,1521,3299.0,4.9,Samsung,Chegará grátis amanhã,54,https://www.mercadolivre.com.br/smartphone-samsung-galaxy-a36-5g-256gb-8gb-ram/p/MLB47111905#polycard_client=search-desktop&search_layout=grid&position=19&type=product&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB5317478858&sid=search,1,1,1k-2k,28.65
"Celular Samsung Galaxy A17 5g Com Ia, 256gb, 8gb Ram, Câm De 50mp, Tela De 6.7 , Nfc, Ip54 - Preto",1576,1899.0,4.9,Samsung,Chegará grátis amanhã,17,https://www.mercadolivre.com.br/celular-samsung-galaxy-a17-5g-com-ia-256gb-8gb-ram-cm-de-50mp-tela-de-67-nfc-ip54-preto/p/MLB54961455#polycard_client=search-desktop&search_layout=grid&position=20&type=product&tracking_id=62c2dc02-3473-4d6b-b693-c1bbc5bc88ae&wid=MLB6574985998&sid=search,1,1,1k-2k,17.55
